,Week,Genre,Play Share,Total Plays
545,2006-09-24,Rock,0.41708542713567837,199
546,2006-09-24,other,0.1306532663316583,199
547,2006-09-24,Metal,0.08542713567839195,199
548,2006-09-24,Jazz,0.3015075376884422,199
549,2006-09-24,folk,0.01507537688442211,199
550,2006-09-24,Pop,0.010050251256281407,199
551,2006-09-24,Electronic,0.02512562814070352,199
552,2006-09-24,Indie,0.010050251256281407,199
553,2006-09-24,Hip Hop,0.005025125628140704,199
554,2006-10-01,Metal,0.39473684210526316,152
555,2006-10-01,Rock,0.34210526315789475,152
556,2006-10-01,Electronic,0.05263157894736842,152
557,2006-10-01,folk,0.02631578947368421,152
558,2006-10-01,Jazz,0.1118421052631579,152
559,2006-10-01,other,0.05921052631578947,152
560,2006-10-01,Hip Hop,0.013157894736842105,152
561,2006-10-08,Metal,0.3576923076923077,260
562,2006-10-08,Hip Hop,0.1576923076923077,260
563,2006-10-08,Rock,0.3923076923076923,260
564,2006-10-08,other,0.057692307692307696,260
565,2006-10-08,Pop,0.019230769230769232,260
566,2006-10-08,folk,0.011538461538461539,260
567,2006-10-08,Jazz,0.0038461538461538464,260
568,2006-10-15,Hip Hop,0.2222222222222222,225
569,2006-10-15,Rock,0.4177777777777778,225
570,2006-10-15,Electronic,0.16444444444444445,225
571,2006-10-15,Jazz,0.13333333333333333,225
572,2006-10-15,folk,0.035555555555555556,225
573,2006-10-15,other,0.02666666666666667,225
574,2006-10-22,Rock,0.43956043956043955,182
575,2006-10-22,Metal,0.17032967032967034,182
576,2006-10-22,Jazz,0.19230769230769232,182
577,2006-10-22,Pop,0.04945054945054945,182
578,2006-10-22,Hip Hop,0.0989010989010989,182
579,2006-10-22,other,0.038461538461538464,182
580,2006-10-22,Electronic,0.01098901098901099,182
